Member,Last Speech,Joined,Last TME,Last GE,Last TTM,Last Evl,Last TTS,Last TK,Last AhC,Last Gr,TME,GE,TTM,Speaker,Evaluator,TTS,TK,AhC,Gr,Last Presence,Meetings Attended,Year Roles,Year Meetings as Member,Membership Due,Churn
0DUskTCnCDPiF2Ra9je5UiVR2b7W,05-04-2023,23-01-2023,,,17-05-2023,,,,22-03-2023,,0,0,1,1,0,0,0,1,0,15-05-2023,"0,5",3,14,30-09-2023,1
2MmBWKdDt6Bv7jksDvSZM4SgZ9wJ,08-03-2023,22-11-2016,11-01-2023,08-02-2023,31-05-2023,12-10-2022,26-07-2023,28-06-2023,12-07-2023,14-06-2023,1,1,3,1,1,1,3,1,3,26-07-2023,"0,87",15,23,31-03-2024,0
2Z1PQ9200RyXzg9WbTa10S4igYeK,14-06-2023,01-04-2022,12-07-2023,,,,08-03-2023,11-01-2023,05-04-2023,,0,0,1,3,0,3,1,2,0,12-07-2023,"0,74",10,23,31-03-2024,0
6TW4zYLA2cnSi8gDvbknHASu3atN,12-07-2023,22-03-2022,17-05-2023,,05-04-2023,,26-07-2023,19-10-2022,19-04-2023,28-06-2023,1,0,1,2,0,4,1,3,2,26-07-2023,"0,65",14,23,31-03-2024,0
7a01j1pQcAlB5DVe6pUnwgLhhlY8,,11-11-2021,,,,,,,,,0,0,0,0,0,0,0,0,0,29-06-2022,0,0,23,30-09-2022,1
94Up4tHt8K3d3kxGD2c8FAZ1wTmw,22-02-2023,24-11-2022,,,,,,22-03-2023,,,0,0,0,0,0,0,1,0,0,22-03-2023,"0,22",1,18,31-03-2023,1
c08lvhsor3PVb60lM4SGxJmbSiCK,27-07-2022,01-03-2019,19-04-2023,17-05-2023,14-06-2023,28-06-2023,,06-01-2023,30-11-2022,12-07-2023,2,4,2,0,6,0,1,1,4,26-07-2023,"0,91",20,23,31-03-2024,0
c3ScrVJPJeuStlj0NIcw9eUXAr9n,19-04-2023,23-05-2012,28-06-2023,31-05-2023,08-03-2023,08-02-2023,26-07-2023,,17-05-2023,06-01-2023,2,2,2,1,1,1,0,3,1,26-07-2023,"0,96",13,23,31-03-2024,0
cRWxMA0pofH81bkp4r5RymPcTAzD,22-02-2023,06-01-2017,08-02-2023,25-01-2023,,12-07-2023,,,11-01-2023,,1,1,0,2,1,0,0,1,0,12-07-2023,"0,43",6,23,31-03-2024,0
diGCWBKWnoiBAjEkzePtpjQNuwa1,22-03-2023,24-01-2023,,,,,22-03-2023,08-03-2023,03-05-2023,,0,0,0,1,0,1,2,1,0,03-05-2023,"0,5",5,14,30-09-2023,1
GTAJZ6g1LmXd2yEx0iM33GWG35CQ,31-05-2023,01-07-2023,,,,,,,28-06-2023,,0,0,0,1,0,0,0,1,0,28-06-2023,"0,43",2,7,31-03-2024,0
gYeuJtUlR4KbpQGkWGl6fMqIy65n,,26-03-2022,,,,,,25-01-2023,08-02-2023,,0,0,0,0,0,0,1,1,0,08-02-2023,"0,09",2,23,31-03-2023,1
IdUigcMP8Z0yyfAb46i5ZkahVgch,04-05-2022,01-02-2017,21-09-2022,,25-01-2023,,11-01-2023,,19-10-2022,,1,0,1,0,0,2,0,2,0,19-04-2023,"0,3",6,23,31-03-2024,0
Iun3LW8JALV5BYqwotwEy2oA5iJm,12-07-2023,11-07-2017,,12-10-2022,,14-06-2023,26-07-2023,05-04-2023,02-11-2022,19-04-2023,0,1,0,2,4,2,1,1,4,26-07-2023,"0,74",15,23,31-03-2024,0
kBCwDDpy0c7JgunW9qe9A2dQ0SN3,17-05-2023,26-04-2012,,14-06-2023,,12-07-2023,21-09-2022,14-06-2023,,,0,2,0,1,6,1,3,0,0,12-07-2023,"0,74",13,23,31-03-2024,0
m2If6l5fROi3l6q4lmZXP3vKbUIk,21-09-2022,01-02-2022,16-11-2022,19-10-2022,,,,12-10-2022,,,1,1,0,1,0,0,1,0,0,16-11-2022,"0,22",4,23,31-03-2023,1
Mp0cxFTELBUMzTXknh5AICC4nt1U,10-11-2021,18-05-2012,22-03-2023,19-04-2023,,12-07-2023,14-06-2023,03-05-2023,14-06-2023,11-01-2023,2,2,0,0,5,1,1,1,1,26-07-2023,"0,78",13,23,31-03-2024,0
pWH6zGngMd55EoSZcE0wACZoo5um,14-06-2023,23-09-2022,,,,28-06-2023,,12-07-2023,,17-05-2023,0,0,0,7,3,0,1,0,2,12-07-2023,"0,77",13,22,31-03-2024,0
QA3hChLsgf3KTChEaU9om6VkSuLr,12-07-2023,01-06-2022,19-10-2022,,28-06-2023,14-06-2023,26-07-2023,26-07-2023,08-03-2023,,1,0,2,2,6,5,3,1,0,26-07-2023,"0,83",20,23,31-03-2024,0
qQtERPXgImK4BoGumfqsTjWVmOE4,,01-02-2022,06-01-2023,,14-12-2022,,,,,,1,0,3,0,0,0,0,0,1,06-01-2023,"0,3",5,23,31-03-2023,1
ti8GL6Do8gKStY0FbzU7w6UXNob2,,04-05-2023,,,,,03-05-2023,17-05-2023,31-05-2023,31-05-2023,0,0,0,0,0,1,1,1,1,31-05-2023,"0,38",4,8,30-09-2023,1
uHlb2Edvh8cKZugmjK4PWQde7ZpS,10-11-2021,01-05-2021,,,22-03-2023,,,,,,0,0,1,0,0,0,0,0,0,19-04-2023,"0,22",1,23,30-09-2023,1
Vf33mKoZKWhOaZK71mYeFrkXOu0T,28-06-2023,19-05-2012,14-06-2023,12-07-2023,26-07-2023,17-05-2023,12-07-2023,,,,2,1,3,5,1,4,0,0,0,26-07-2023,"0,57",16,23,31-03-2024,0
vHxCrQTKLnGAOjBPZy8gNZUZ2aus,13-07-2022,01-10-2021,,,,,,,,,0,0,0,0,0,0,0,0,0,13-07-2022,0,0,23,30-09-2023,1
WTEYwnKUj4xJP0U3lOVMypE4WS2o,29-07-2020,02-05-2013,,,,,,,,,0,0,0,0,0,0,0,0,0,29-06-2022,0,0,23,30-09-2021,1
X04zHNc3GrgSrGvJ2KW31n4ndMCR,14-12-2022,27-09-2022,,,,,,,,,0,0,0,1,0,0,0,0,0,14-12-2022,"0,09",1,23,31-03-2023,1
ZBjbsi6DNrO4CronaGHBBMCFIi2t,12-01-2022,01-12-2021,,,,,,,,,0,0,0,0,0,0,0,0,0,12-01-2022,0,0,23,31-03-2022,1
zNTTqBDqh1hlULCino9fYZYJmN2u,22-02-2023,26-09-2017,12-07-2023,05-04-2023,,16-11-2022,26-07-2023,14-12-2022,,22-03-2023,6,2,0,1,2,1,2,0,2,26-07-2023,"0,83",16,23,31-03-2024,0
